Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Product Management,GAZARA-64,10264,Epic,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-08-05 9:54,2025-08-05 9:54,,,,0,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i000g7:,,,,,,,,,,,,,,,,,To Do,2025-08-05 9:54
"As a super admin, I want a Settings Page with options for appearance, language, security, and notifications, so that I can personalize my experience, increase security, and control how I receive alerts and updates.",GAZARA-63,10239,Story,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-08-04 9:49,2025-08-05 9:58,,,,0,"h4. *. Appearance Customization*

* *Feature:* {{Change Appearance}}
** Drop-down menu with:
*** Light Mode (default)
*** Dark Mode
** Selection changes the panel's theme immediately.
** Preference is stored in local storage or backend and *persists across sessions*.
** The currently selected appearance mode is *preselected* when revisiting the page.

----

h4. *2. Language Customization*

* *Feature:* {{Change Language}}
** Drop-down menu with:
*** English
*** Arabic
*** French
*** (Other languages as applicable)
** Changing the selection *dynamically updates all text* in the admin panel interface.
** Option is saved and used as the default on next login.

----

h4. *3. Security Settings*

* *Feature:* {{Enable Two-Factor Authentication (2FA)}}
** Toggle button labeled ON/OFF.
** When enabled:
*** Prompts user to set up 2FA via QR code or input field for linking to a mobile app (e.g., Google Authenticator).
*** Displays confirmation:
✅ _""2FA has been successfully enabled.""_
** When disabled:
*** Shows confirmation:
⚠️ _""2FA is currently disabled.""_
** Future logins require:
*** Email + password
*** 6-digit code from authenticator app

----

h4. *4. Notification Preferences*

* *Feature:* {{Enable Notifications}} with individual toggles:
** *Mobile Push Notifications*:
*** ON/OFF toggle.
*** Enabled: Device will receive real-time alerts via app or browser.
** *Desktop Notifications*:
*** ON/OFF toggle.
*** Enabled: Browser will show pop-up notifications (must grant permission).
** *Email Notifications*:
*** ON/OFF toggle.
*** Enabled: Sends alerts to registered email for key events (e.g., user registration, transaction activity).

----

h4. *5. Visual Layout*

* The Settings Page UI includes *four distinct cards*, each with:
** *Title* (e.g., Appearance, Language, Security, Notifications)
** *Descriptive text* below each setting (e.g., “Choose your preferred theme.”)
** Clean, consistent layout with spacing and section dividers
* Responsive design for both desktop and tablet views",,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000fz:,,,,,,,,,,,,,,10075,GAZARA-10,Settings & Customization,To Do,2025-08-04 9:49
"As a super admin, I want to view, search, filter, download, and manage all recorded payment transactions through a centralized Payments Tab, so that I can ensure transparency, traceability, and efficient handling of financial records.",GAZARA-62,10238,Story,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-08-04 9:47,2025-08-05 9:58,,,,0,"* When the super admin clicks the *Payments Tab*, a *transaction table* is displayed with the following sortable columns:

||*Column*||*Details*||
|Transaction ID|Unique timestamp-based ID (e.g., 1698237823456); non-editable; sortable.|
|Customer Name|Full name of the customer; sortable.|
|Date|Transaction date & time (e.g., ""November 27, 2024, 14:23:45""); sortable.|
|Type|Payment method: Credit Card or Cash; sortable.|
|Action|Buttons: {{View}}, {{Refund}}, {{Delete}}.|

----

h4. *2. Action Buttons Functionality*

* *View*:
** Displays detailed breakdown including:
*** Customer info
*** Amount paid
*** Payment method
*** Date/time
*** Processing log (e.g., transaction status updates)
* *Refund*:
** Initiates a refund request.
** Confirmation modal: _""Confirm refund for Transaction ID: TXID?""_
** On confirmation:
*** Marks transaction as ""Refunded""
*** Logs the refund in system
* *Delete*:
** Prompts confirmation:
_""Are you sure you want to permanently delete this transaction?""_
** On confirmation deletes transaction and updates the table

----

h4. *3. Filtering Options*

* *Filter Button* (top-right corner):
** Opens a dropdown or modal with:
*** *Payment Type*:
**** Dropdown: All, Credit Card, Cash
*** *Date Range*:
**** Two date pickers for “From” and “To” dates
** On applying filter:
*** Table updates to show only relevant records
** If no match:
*** Show message: _""No transactions found for the selected criteria.""_

----

h4. *4. Search Functionality*

* *Search Bar*:
** Positioned above the table
** Supports keyword search for:
*** *Transaction ID*
*** *Customer Name*
*** *Date (partial or full match)*

----

h4. *5. Download Feature*

* *Download Button*:
** Located next to Filter
** Opens pop-up with export options:
*** *PDF*: Formatted and printable transaction list
*** *Excel*: Tabular data export for accounting or audit use
** Downloaded file includes headers and all visible filtered data

----

h4. *6. Pagination & Record Display*

* Footer displays:
** *Pagination*:
*** Example: _""Page 1 of 10""_
*** Buttons: Next, Previous
** *Records per page*:
*** Dropdown: 10 (default), 20, 30, All
** *Record count*:
*** Example: _""Showing 10 of 100 transactions""_",,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000fr:,,,,,,,,,,,,,,10077,GAZARA-12,Payment,To Do,2025-08-04 9:47
"As a super admin, I want to view, manage, add, filter, and export data of all branch admins and supervisors from a centralized interface, so that I can efficiently handle admin-related operations across different branch regions and roles.",GAZARA-61,10237,Story,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-08-04 9:39,2025-08-04 9:39,2025-08-04 9:43,,,0,"h4. *. Table Structure and Display*

* Upon clicking the *Admins Tab* from the sidebar, the system displays a *table* with the following *sortable* columns:

||*Column Name*||*Details*||
|Name|Full name of the admin or supervisor (sortable A-Z/Z-A).|
|Branch Region|Region to which the admin is assigned (e.g., Madinaty, Al-Rehab).|
|Email Address|Contact email of the admin (sortable).|
|Role|Admin role: Branch Manager, Assistant Manager, etc.|
|Action|Buttons: {{View}}, {{Edit}}, {{Delete}}.|

----

h4. *2. Action Buttons Functionality*

* *View*: Opens a modal or page showing:
** Full Name, Email, Phone Number
** Role and Assigned Branch
* *Edit*:
** Opens a pre-filled form to update the admin’s information.
** All changes saved reflect instantly in the table.
* *Delete*:
** Prompts a confirmation message:
_""Are you sure you want to delete this admin? This action cannot be undone.""_
** On confirmation: deletes the admin and updates the view.

----

h4. *3. Filtering and Sorting*

* *Filter Button*:
** Located at the top-right of the table.
** Dropdowns available for:
*** *Branch Region*: Filters admins assigned to a selected region.
*** *Role*: Filters by admin roles (Branch Manager, Assistant Manager, etc.).
* *Clear Filter Option* appears when filters are applied.

----

h4. *4. Add Admin Feature*

* *Add Admin Button*:
** Located at the top-left of the card.
** Clicking opens a form with the following fields:

||*Field*||*Type*||*Required*||
|Full Name|Text|✅|
|Email Address|Text (email)|✅|
|Branch Region|Dropdown|✅|
|Role|Dropdown|✅|
|Phone Number|Text|Optional|
|Password|Password input|✅|

* *Submit*:
** Adds the new admin to the database.
** Table refreshes and displays the new record.
* *Cancel*:
** Discards the form and redirects to Admin Table view.

----

h4. *5. Download Feature*

* *Download Button*:
** Located beside the Filter button.
** Opens a pop-up window with format choices:
*** *PDF*: Clean layout for printing.
*** *Excel*: Tabular format for data processing.
* *Exported data includes*:
** Name, Email, Phone, Branch Region, Role.
** File is formatted professionally and includes headers.

----

h4. *6. Pagination and Record Controls*

* Footer includes:
** Text like: _""Showing 10 of 50 records""_
** Page navigation arrows: *Next*, *Previous*
** *Records per page* dropdown: 10 (default), 20, 30, All",,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000fj:,,,,,,,,,,,,,,,,,To Do,2025-08-04 9:39
"As a super admin, I want to view, filter, and manage user records in a structured table format, so that super admin efficiently manages and access user data while maintaining usability and scalability for larger datasets.",GAZARA-60,10236,Story,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-08-04 9:35,2025-08-04 9:35,,,,0,"* When the super admin clicks the *Users Tab* in the sidebar:
** A table is displayed containing the following columns:

||*Column Name*||*Details*||
|Username|Full name of the user, shown in plain text.|
|Mobile Number|Mobile number in valid local format (e.g., +20 123456789).|
|Email Address|Valid email format (e.g., [user@example.com|mailto:user@example.com]).|
|Address|Full address or region name (e.g., ""Al-Rehab, Cairo"").|
|Action|Icons or buttons: {{View}}, {{Edit}}, {{Delete}}.|

----

h4. *2. Action Functionality*

h5. - *View*

* Clicking ""View"" opens a detailed read-only page or modal displaying full user info.

h5. - *Edit*

* Clicking ""Edit"" opens a form to update user information.
* All fields should be pre-filled and editable.
* Saving updates the database and returns to the Users Table with a success message.

h5. - *Delete*

* Clicking ""Delete"" prompts a confirmation modal:
_""Are you sure you want to delete this user? This action cannot be undone.""_
* If confirmed:
** User is deleted from the system.
** Table refreshes and reflects updated records.

----

h4. *3. Filtering Functionality*

* A *Filter Button* exists in the top-right corner of the card.
* When clicked, it displays a *dropdown list* of all available regions.
* Selecting a region filters the table to show users from that region only.
* A *""Clear Filter""* option appears after filtering to reset the table view.

----

h4. *4. Pagination and Record Display*

* The bottom of the table includes:
** Pagination controls showing:
*** Current page number: e.g., *Page 2 of 5*
*** Arrows for ""Next"" and ""Previous"" navigation.
** *Rows per page dropdown* with options:
*** 10 users (default)
*** 20 users
*** 30 users
*** All users (displays all in one view)",,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000fb:,,,,,,,,,,,,,,,,,To Do,2025-08-04 9:35
"As a super admin, I want to review the entered product details in a read-only format before final submission, so that I can confirm the accuracy of the information and reduce data entry errors.",GAZARA-59,10235,Story,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-08-04 9:28,2025-08-05 9:55,,,,0,"h4. *. Navigation to the Review Page*

* When the super admin clicks *""Add""* on the *Add New Product* form (FR8), the system navigates to a *Review Product Details Page*.
* All previously entered product details are displayed in a *read-only format*, including:

||*Field*||*Format on Review Page*||
|Product Name|Plain text|
|Product Category|Plain text (e.g., ""Seafood"")|
|Price|""LE [amount]"" (e.g., ""LE 75.00"")|
|Quantity|""[number] units""|
|Discount|Display as entered with the correct format:
* ""15%"" if percentage
* ""LE 10.00"" if fixed|
|HSN Code|6-digit code|
|Status|""In Stock"" / ""Out of Stock"" with colored tag|
|Upload Photo|Thumbnail image preview of uploaded file|

----

h4. *2. Data Display Rules*

* All values must exactly match what the super admin entered on the previous page.
* If a discount is {{0}}, display as:
_""Discount: None""_
or
_""Discount: LE 0.00""_

----

h4. *3. Action Buttons and Their Behavior*

h5.  - *Confirm Button*

* Label: *""Confirm""*
* On click:
** Saves the product permanently to the system database.
** Redirects the super admin to the *Products Table page (FR7)*.
** Displays a success toast/message:
_""Product added successfully.""_

h5. - *Back Button*

* Label: *""Back""*
* On click:
** Returns the user to the *Add New Product* form.
** All previously entered data remains pre-filled for editing.
** No data is lost or reset unless the page is refreshed.",,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000f3:,,,,,,,,,,,,,,10264,GAZARA-64,Product Management,To Do,2025-08-04 9:28
"As a super admin, I want to access a detailed form to add a new product to the system, so that I can ensure all product data is correctly entered and categorized for future display and management.",GAZARA-58,10234,Story,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-08-04 9:21,2025-08-05 9:55,,,,0,"h4. *Accessing the Add New Product Page*

* When the super admin clicks the *""Add New Product""* button from the Products table (FR7):
** The system navigates to the *Add Product view*.
** A *breadcrumb* is displayed at the top:
**Products > Add New Product*

----

h4. *2. Form Fields Displayed*

The form must include the following fields with associated validations:

||*Field*||*Type*||*Validation/Behavior*||
|Product Name|Text input|Required. Cannot be empty.|
|Product Category|Dropdown|Options: Seafood, Salads, Meats, Veggies, Fruits. Required.|
|Price|Numeric input|Required. Must be a positive number.|
|Quantity|Numeric input|Required. Must be a positive integer.|
|Discount|Numeric input|Optional. Defaults to {{0}} if left blank.|
|Discount Format|Dropdown/Toggle|Select between *Percentage (%)* or *Fixed Amount (EGP LE)*.|
|HSN|Numeric input|Required. Must be exactly 6 digits.|
|Status|Dropdown|Options: *In Stock* or *Out of Stock*. Required.|
|Upload Photo|File input (drag/drop or button)|Accepts {{.jpeg}} or {{.png}}. Required.|

* Validation errors must be displayed inline if any required field is empty or invalid.

----

h4. *3. File Upload Requirements*

* File upload must:
** Accept only {{.jpeg}} and {{.png}} formats.
** Show a preview thumbnail after upload.
** Allow re-upload (replace existing file).
** Display an error message for unsupported formats.

----

h4. *4. Action Buttons and Behavior*

* *Add* button:
** Enabled only when all required fields are filled and valid.
** On click:
*** Submits the form.
*** Adds the product to the database.
*** Redirects the super admin back to the *Products page (FR7)*.
*** Shows a success message:
_""Product added successfully.""_
* *Cancel* button:
** On click:
*** Discards all form input.
*** Redirects the super admin back to the *Products page (FR7)*.
*** No product is added.

----

h4. *5. Default Behaviors*

* If the *Discount* field is left empty:
** The system sets it to {{0}}.
* If a *discount value* is entered:
** A *discount format* (either {{%}} or {{EGP}}) *must be selected*, else the Add button is disabled.",,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000ev:,,,,,,,,,,,,,,10264,GAZARA-64,Product Management,To Do,2025-08-04 9:21
"As a super admin, I want to view, filter, search, delete, and manage all product details from a centralized table, so that I can maintain product availability, pricing, and stock status efficiently.",GAZARA-57,10233,Story,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-08-04 8:54,2025-08-05 9:55,2025-08-05 9:49,,,0,"h4. *. Table Display*

* Upon selecting ""Products"" from the sidebar:
** A *Products Table* is displayed, showing 10 products by default.
** Table includes the following columns:
*** *Product Name* – name of the product.
*** *Price* – in the applicable currency (e.g., {{LE 25.00}}).
*** *Quantity* – shows the currently available quantity.
*** *Status* – colored tags:
**** *In Stock* – green.
**** *Out of Stock* – red.
*** *Action* – includes:
**** *View*: opens a detailed view.
**** *Edit*: opens editable fields/form.
**** *Delete*: triggers a confirmation before deletion.
*** *Search Bar*:
**** Located above the table.
**** Allows the super admin to search for specific products by name.
**** *Filter Options*:
**** Multi-select dropdowns to filter by:
***** Product category (fish, meat, salads..)
***** Price range.
***** Status (In Stock, Out of Stock).
*** *Add New Product Button:*
**** A clearly labeled *""Add New Product""* button is placed above or near the table.
*** *Footer Features*
**** *Pagination Summary*:
***** Displayed at the bottom of the table.
***** Shows format:
_""Showing 10 out of 150 products""_ (values update dynamically).
**** *Rows Per Page Dropdown*:
***** Options include: 10 (default), 20, 30, All.
***** Selecting an option updates the number of visible rows accordingly.",,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000en:,,,,,,,,,,,,,,10264,GAZARA-64,Product Management,To Do,2025-08-04 8:54
"As a super admin, I want to view, edit, and delete customer orders from a centralized table on the dashboard so that to track, manage, and act on orders efficiently through a centralized interface.",GAZARA-56,10232,Story,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-08-04 8:05,2025-08-04 8:05,,,,0,"h4. Acceptance Criteria

An *Orders Card* is displayed on the dashboard, showing a structured table.

* The table includes the following columns for each order:
** *Order ID* – displays a 6-digit unique order number (e.g., {{908765}}).
** *Date* – formatted as {{DD/MM/YYYY}} or based on system localization settings.
** *Customer Name* – displays full name of the customer.
** *Amount* – shows order total in correct currency (e.g., {{LE100.00}}).
** *Status* – visually represented with colored tags:
*** *Pending* – yellow tag.
*** *Canceled* – red tag.
*** *Delivered* – green tag.
* *Action:*
** Provides the following options as clickable buttons or icons:
*** *View:* Opens a detailed view of the selected order.
*** *Edit:* Allows modification of order details.
*** *Delete:* Deletes the selected order after confirmation via a pop-up.",,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000ef:,,,,,,,,,,,,,,,,,To Do,2025-08-04 8:05
"As a super admin, I want to filter overall dashboard data by time period and download reports in Excel or PDF formats, so that I can analyze and archive business performance metrics efficiently.",GAZARA-55,10231,Story,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-08-04 7:51,2025-08-05 9:48,,,,0,"h4. *1. Time Filter Dropdown*

* A dropdown labeled *""This Month""* is displayed at the top-right corner of the dashboard.
* The dropdown includes the following filter options:
** *Current Month*
** *Previous Month*
** *Current Quarter*
** *Current Year*
* When a filter is selected:
** All dashboard cards (stats, charts, tables) update accordingly.
** The selection remains active until the user changes it.

h4. *2. Download Report Functionality*

* A *""Download Report""* button is displayed next to the ""This Month"" dropdown.
* When clicked:
** A pop-up appears with file format options:
*** *Excel*
*** *PDF*
* Once a format is selected:
** The system generates a downloadable report.
** The report includes:
*** Revenue and order summaries.
*** Charts (bar and pie).
*** Regional breakdowns.
*** Statistical KPIs.
** The layout of the report is:
*** Professionally formatted.
*** Easy to read (tables, charts properly aligned).
*** Labeled with the selected time filter period (e.g., “Report – July 2025”).
* The report downloads initiates automatically after generation.",,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000e7:,,,,,,,,,,,,,,10072,GAZARA-7,Admin Panel & Dashboard,To Do,2025-08-04 7:51
